11,Empire moghol,1700-01-01
12,Empire moghol,1700-01-01
13,Empire moghol,1700-01-01
14,Empire moghol,1700-01-01
15,Empire moghol,1700-01-01
21,Dynastie Qing,1700-01-01
22,Dynastie Qing,1700-01-01
23,Dynastie Qing,1700-01-01
24,Dynastie Qing,1700-01-01
25,Dynastie Qing,1700-01-01
31,Saint-Empire romain germanique,1700-01-01
32,Saint-Empire romain germanique,1700-01-01
33,Saint-Empire romain germanique,1700-01-01
34,Saint-Empire romain germanique,1700-01-01
35,Saint-Empire romain germanique,1700-01-01
41,Japon,1700-01-01
42,Japon,1700-01-01
43,Japon,1700-01-01
44,Japon,1700-01-01
45,Japon,1700-01-01
51,Empire ottoman,1700-01-01
52,Empire ottoman,1700-01-01
53,Empire ottoman,1700-01-01
54,Empire ottoman,1700-01-01
55,Empire ottoman,1700-01-01
61,Empire espagnol,1700-01-01
62,Empire espagnol,1700-01-01
63,Empire espagnol,1700-01-01
64,Empire espagnol,1700-01-01
65,Empire espagnol,1700-01-01
71,Royaume de France,1700-01-01
72,Royaume de France,1700-01-01
73,Royaume de France,1700-01-01
74,Royaume de France,1700-01-01
75,Royaume de France,1700-01-01
81,Tsarat de Russie,1700-01-01
82,Tsarat de Russie,1700-01-01
83,Tsarat de Russie,1700-01-01
84,Tsarat de Russie,1700-01-01
85,Tsarat de Russie,1700-01-01
91,Dynastie Joseon,1700-01-01
92,Dynastie Joseon,1700-01-01
93,Dynastie Joseon,1700-01-01
94,Dynastie Joseon,1700-01-01
95,Dynastie Joseon,1700-01-01
101,Perse,1700-01-01
102,Perse,1700-01-01
103,Perse,1700-01-01
104,Perse,1700-01-01
105,Perse,1700-01-01
111,Monarchie de Habsbourg,1700-01-01
112,Monarchie de Habsbourg,1700-01-01
113,Monarchie de Habsbourg,1700-01-01
114,Monarchie de Habsbourg,1700-01-01
115,Monarchie de Habsbourg,1700-01-01
121,Angleterre,1700-01-01
122,Angleterre,1700-01-01
123,Angleterre,1700-01-01
124,Angleterre,1700-01-01
125,Angleterre,1700-01-01
131,Republique des Deux Nations,1700-01-01
132,Republique des Deux Nations,1700-01-01
133,Republique des Deux Nations,1700-01-01
134,Republique des Deux Nations,1700-01-01
135,Republique des Deux Nations,1700-01-01
141,Dai Viet,1700-01-01
142,Dai Viet,1700-01-01
143,Dai Viet,1700-01-01
144,Dai Viet,1700-01-01
145,Dai Viet,1700-01-01
151,Empire cherifien,1700-01-01
152,Empire cherifien,1700-01-01
153,Empire cherifien,1700-01-01
154,Empire cherifien,1700-01-01
155,Empire cherifien,1700-01-01
161,Nepal,1700-01-01
162,Nepal,1700-01-01
163,Nepal,1700-01-01
164,Nepal,1700-01-01
165,Nepal,1700-01-01
171,Suede,1700-01-01
172,Suede,1700-01-01
173,Suede,1700-01-01
174,Suede,1700-01-01
175,Suede,1700-01-01
181,Siam,1700-01-01
182,Siam,1700-01-01
183,Siam,1700-01-01
184,Siam,1700-01-01
185,Siam,1700-01-01
191,Royaume de Portugal,1700-01-01
192,Royaume de Portugal,1700-01-01
193,Royaume de Portugal,1700-01-01
194,Royaume de Portugal,1700-01-01
195,Royaume de Portugal,1700-01-01
201,Republique de Venise,1700-01-01
202,Republique de Venise,1700-01-01
203,Republique de Venise,1700-01-01
204,Republique de Venise,1700-01-01
205,Republique de Venise,1700-01-01
211,Province-Unies,1700-01-01
212,Province-Unies,1700-01-01
213,Province-Unies,1700-01-01
214,Province-Unies,1700-01-01
215,Province-Unies,1700-01-01
221,Cambodge,1700-01-01
222,Cambodge,1700-01-01
223,Cambodge,1700-01-01
224,Cambodge,1700-01-01
225,Cambodge,1700-01-01
231,Brandebourg-Prusse,1700-01-01
232,Brandebourg-Prusse,1700-01-01
233,Brandebourg-Prusse,1700-01-01
234,Brandebourg-Prusse,1700-01-01
235,Brandebourg-Prusse,1700-01-01
241,Etats de Savoie,1700-01-01
242,Etats de Savoie,1700-01-01
243,Etats de Savoie,1700-01-01
244,Etats de Savoie,1700-01-01
245,Etats de Savoie,1700-01-01
251,Danemark-Norvege,1700-01-01
252,Danemark-Norvege,1700-01-01
253,Danemark-Norvege,1700-01-01
254,Danemark-Norvege,1700-01-01
255,Danemark-Norvege,1700-01-01
261,Confederation Suisse,1700-01-01
262,Confederation Suisse,1700-01-01
263,Confederation Suisse,1700-01-01
264,Confederation Suisse,1700-01-01
265,Confederation Suisse,1700-01-01
271,Khanat dzoungar,1700-01-01
272,Khanat dzoungar,1700-01-01
273,Khanat dzoungar,1700-01-01
274,Khanat dzoungar,1700-01-01
275,Khanat dzoungar,1700-01-01
281,Grand-duche de Toscane,1700-01-01
282,Grand-duche de Toscane,1700-01-01
283,Grand-duche de Toscane,1700-01-01
284,Grand-duche de Toscane,1700-01-01
285,Grand-duche de Toscane,1700-01-01
291,Royaume du Kongo,1700-01-01
292,Royaume du Kongo,1700-01-01
293,Royaume du Kongo,1700-01-01
294,Royaume du Kongo,1700-01-01
295,Royaume du Kongo,1700-01-01
301,Lan Xang,1700-01-01
302,Lan Xang,1700-01-01
303,Lan Xang,1700-01-01
304,Lan Xang,1700-01-01
305,Lan Xang,1700-01-01
311,Royaume de Ryukyu,1700-01-01
312,Royaume de Ryukyu,1700-01-01
313,Royaume de Ryukyu,1700-01-01
314,Royaume de Ryukyu,1700-01-01
315,Royaume de Ryukyu,1700-01-01
321,Ordre de Saint-Jean de Jerusalem,1700-01-01
322,Ordre de Saint-Jean de Jerusalem,1700-01-01
323,Ordre de Saint-Jean de Jerusalem,1700-01-01
324,Ordre de Saint-Jean de Jerusalem,1700-01-01
325,Ordre de Saint-Jean de Jerusalem,1700-01-01
55,Ordre de Saint-Jean de Jerusalem,1700-07-07
